station_id,lat,lon,station_name,global_y,global_x
0,9.25,-61.75,station_161-236,161,236
1,9.25,-61.25,station_161-237,161,237
2,8.75,-61.75,station_162-236,162,236
3,8.75,-61.25,station_162-237,162,237
4,8.25,-62.25,station_163-235,163,235
5,8.25,-61.75,station_163-236,163,236
6,8.25,-61.25,station_163-237,163,237
7,8.25,-60.75,station_163-238,163,238
8,8.25,-60.25,station_163-239,163,239
9,8.25,-59.75,station_163-240,163,240
10,7.75,-64.25,station_164-231,164,231
11,7.75,-63.75,station_164-232,164,232
12,7.75,-63.25,station_164-233,164,233
13,7.75,-62.75,station_164-234,164,234
14,7.75,-62.25,station_164-235,164,235
15,7.75,-61.75,station_164-236,164,236
16,7.75,-61.25,station_164-237,164,237
17,7.75,-60.75,station_164-238,164,238
18,7.75,-60.25,station_164-239,164,239
19,7.75,-59.75,station_164-240,164,240
20,7.75,-59.25,station_164-241,164,241
21,7.25,-66.25,station_165-227,165,227
22,7.25,-65.75,station_165-228,165,228
23,7.25,-65.25,station_165-229,165,229
24,7.25,-64.75,station_165-230,165,230
25,7.25,-64.25,station_165-231,165,231
26,7.25,-63.75,station_165-232,165,232
27,7.25,-63.25,station_165-233,165,233
28,7.25,-62.75,station_165-234,165,234
29,7.25,-62.25,station_165-235,165,235
30,7.25,-61.75,station_165-236,165,236
31,7.25,-61.25,station_165-237,165,237
32,7.25,-60.75,station_165-238,165,238
33,7.25,-60.25,station_165-239,165,239
34,7.25,-59.75,station_165-240,165,240
35,7.25,-59.25,station_165-241,165,241
36,7.25,-58.75,station_165-242,165,242
37,6.75,-66.75,station_166-226,166,226
38,6.75,-66.25,station_166-227,166,227
39,6.75,-65.75,station_166-228,166,228
40,6.75,-65.25,station_166-229,166,229
41,6.75,-64.75,station_166-230,166,230
42,6.75,-64.25,station_166-231,166,231
43,6.75,-63.75,station_166-232,166,232
44,6.75,-63.25,station_166-233,166,233
45,6.75,-62.75,station_166-234,166,234
46,6.75,-62.25,station_166-235,166,235
47,6.75,-61.75,station_166-236,166,236
48,6.75,-61.25,station_166-237,166,237
49,6.75,-60.75,station_166-238,166,238
50,6.75,-60.25,station_166-239,166,239
51,6.75,-59.75,station_166-240,166,240
52,6.75,-59.25,station_166-241,166,241
53,6.75,-58.75,station_166-242,166,242
54,6.75,-58.25,station_166-243,166,243
55,6.25,-66.75,station_167-226,167,226
56,6.25,-66.25,station_167-227,167,227
57,6.25,-65.75,station_167-228,167,228
58,6.25,-65.25,station_167-229,167,229
59,6.25,-64.75,station_167-230,167,230
60,6.25,-64.25,station_167-231,167,231
61,6.25,-63.75,station_167-232,167,232
62,6.25,-63.25,station_167-233,167,233
63,6.25,-62.75,station_167-234,167,234
64,6.25,-62.25,station_167-235,167,235
65,6.25,-61.75,station_167-236,167,236
66,6.25,-61.25,station_167-237,167,237
67,6.25,-60.75,station_167-238,167,238
68,6.25,-60.25,station_167-239,167,239
69,6.25,-59.75,station_167-240,167,240
70,6.25,-59.25,station_167-241,167,241
71,6.25,-58.75,station_167-242,167,242
72,6.25,-58.25,station_167-243,167,243
73,6.25,-57.75,station_167-244,167,244
74,5.75,-67.25,station_168-225,168,225
75,5.75,-66.75,station_168-226,168,226
76,5.75,-66.25,station_168-227,168,227
77,5.75,-65.75,station_168-228,168,228
78,5.75,-65.25,station_168-229,168,229
79,5.75,-64.75,station_168-230,168,230
80,5.75,-64.25,station_168-231,168,231
81,5.75,-63.75,station_168-232,168,232
82,5.75,-63.25,station_168-233,168,233
83,5.75,-62.75,station_168-234,168,234
84,5.75,-62.25,station_168-235,168,235
85,5.75,-61.75,station_168-236,168,236
86,5.75,-61.25,station_168-237,168,237
87,5.75,-60.75,station_168-238,168,238
88,5.75,-60.25,station_168-239,168,239
89,5.75,-59.75,station_168-240,168,240
90,5.75,-59.25,station_168-241,168,241
91,5.75,-58.75,station_168-242,168,242
92,5.75,-58.25,station_168-243,168,243
93,5.75,-57.75,station_168-244,168,244
94,5.75,-57.25,station_168-245,168,245
95,5.75,-56.75,station_168-246,168,246
96,5.75,-56.25,station_168-247,168,247
97,5.75,-55.75,station_168-248,168,248
98,5.75,-55.25,station_168-249,168,249
99,5.75,-54.75,station_168-250,168,250
100,5.75,-54.25,station_168-251,168,251
101,5.25,-67.25,station_169-225,169,225
102,5.25,-66.75,station_169-226,169,226
103,5.25,-66.25,station_169-227,169,227
104,5.25,-65.75,station_169-228,169,228
105,5.25,-65.25,station_169-229,169,229
106,5.25,-64.75,station_169-230,169,230
107,5.25,-64.25,station_169-231,169,231
108,5.25,-63.75,station_169-232,169,232
109,5.25,-63.25,station_169-233,169,233
110,5.25,-62.75,station_169-234,169,234
111,5.25,-62.25,station_169-235,169,235
112,5.25,-61.75,station_169-236,169,236
113,5.25,-61.25,station_169-237,169,237
114,5.25,-60.75,station_169-238,169,238
115,5.25,-60.25,station_169-239,169,239
116,5.25,-59.75,station_169-240,169,240
117,5.25,-59.25,station_169-241,169,241
118,5.25,-58.75,station_169-242,169,242
119,5.25,-58.25,station_169-243,169,243
120,5.25,-57.75,station_169-244,169,244
121,5.25,-57.25,station_169-245,169,245
122,5.25,-56.75,station_169-246,169,246
123,5.25,-56.25,station_169-247,169,247
124,5.25,-55.75,station_169-248,169,248
125,5.25,-55.25,station_169-249,169,249
126,5.25,-54.75,station_169-250,169,250
127,5.25,-54.25,station_169-251,169,251
128,5.25,-53.75,station_169-252,169,252
129,5.25,-53.25,station_169-253,169,253
130,4.75,-68.25,station_170-223,170,223
131,4.75,-67.75,station_170-224,170,224
132,4.75,-67.25,station_170-225,170,225
133,4.75,-66.75,station_170-226,170,226
134,4.75,-66.25,station_170-227,170,227
135,4.75,-65.75,station_170-228,170,228
136,4.75,-65.25,station_170-229,170,229
137,4.75,-64.75,station_170-230,170,230
138,4.75,-64.25,station_170-231,170,231
139,4.75,-63.75,station_170-232,170,232
140,4.75,-63.25,station_170-233,170,233
141,4.75,-62.75,station_170-234,170,234
142,4.75,-62.25,station_170-235,170,235
143,4.75,-61.75,station_170-236,170,236
144,4.75,-61.25,station_170-237,170,237
145,4.75,-60.75,station_170-238,170,238
146,4.75,-60.25,station_170-239,170,239
147,4.75,-59.75,station_170-240,170,240
148,4.75,-59.25,station_170-241,170,241
149,4.75,-58.75,station_170-242,170,242
150,4.75,-58.25,station_170-243,170,243
151,4.75,-57.75,station_170-244,170,244
152,4.75,-57.25,station_170-245,170,245
153,4.75,-56.75,station_170-246,170,246
154,4.75,-56.25,station_170-247,170,247
155,4.75,-55.75,station_170-248,170,248
156,4.75,-55.25,station_170-249,170,249
157,4.75,-54.75,station_170-250,170,250
158,4.75,-54.25,station_170-251,170,251
159,4.75,-53.75,station_170-252,170,252
160,4.75,-53.25,station_170-253,170,253
161,4.75,-52.75,station_170-254,170,254
162,4.75,-52.25,station_170-255,170,255
163,4.25,-69.75,station_171-220,171,220
164,4.25,-69.25,station_171-221,171,221
165,4.25,-68.75,station_171-222,171,222
166,4.25,-68.25,station_171-223,171,223
167,4.25,-67.75,station_171-224,171,224
168,4.25,-67.25,station_171-225,171,225
169,4.25,-66.75,station_171-226,171,226
170,4.25,-66.25,station_171-227,171,227
171,4.25,-65.75,station_171-228,171,228
172,4.25,-65.25,station_171-229,171,229
173,4.25,-64.75,station_171-230,171,230
174,4.25,-64.25,station_171-231,171,231
175,4.25,-63.75,station_171-232,171,232
176,4.25,-63.25,station_171-233,171,233
177,4.25,-62.75,station_171-234,171,234
178,4.25,-62.25,station_171-235,171,235
179,4.25,-61.75,station_171-236,171,236
180,4.25,-61.25,station_171-237,171,237
