year,atm_co2
1765,278.05
1766,278.11
1767,278.22
1768,278.34
1769,278.47
1770,278.6
1771,278.73
1772,278.87
1773,279.01
1774,279.15
1775,279.3
1776,279.46
1777,279.62
1778,279.78
1779,279.94
1780,280.1
1781,280.24
1782,280.38
1783,280.52
1784,280.66
1785,280.8
1786,280.96
1787,281.12
1788,281.28
1789,281.44
1790,281.6
1791,281.75
1792,281.89
1793,282.03
1794,282.17
1795,282.3
1796,282.43
1797,282.55
1798,282.67
1799,282.79
1800,282.9
1801,283.01
1802,283.11
1803,283.21
1804,283.31
1805,283.4
1806,283.49
1807,283.58
1808,283.66
1809,283.74
1810,283.8
1811,283.85
1812,283.89
1813,283.93
1814,283.96
1815,284
1816,284.04
1817,284.09
1818,284.13
1819,284.17
1820,284.2
1821,284.22
1822,284.24
1823,284.26
1824,284.28
1825,284.3
1826,284.32
1827,284.34
1828,284.36
1829,284.38
1830,284.4
1831,284.39
1832,284.28
1833,284.13
1834,283.98
1835,283.83
1836,283.68
1837,283.53
1838,283.43
1839,283.4
1840,283.4
1841,283.43
1842,283.5
1843,283.6
1844,283.73
1845,283.9
1846,284.08
1847,284.23
1848,284.4
1849,284.58
1850,284.73
1851,284.88
1852,285
1853,285.13
1854,285.28
1855,285.43
1856,285.58
1857,285.73
1858,285.9
1859,286.08
1860,286.23
1861,286.38
1862,286.5
1863,286.63
1864,286.78
1865,286.9
1866,287
1867,287.1
1868,287.23
1869,287.38
1870,287.53
1871,287.7
1872,287.9
1873,288.13
1874,288.4
1875,288.7
1876,289.03
1877,289.4
1878,289.8
1879,290.23
1880,290.7
1881,291.2
1882,291.68
1883,292.13
1884,292.58
1885,292.98
1886,293.3
1887,293.58
1888,293.8
1889,294
1890,294.18
1891,294.33
1892,294.48
1893,294.6
1894,294.7
1895,294.8
1896,294.9
1897,295.03
1898,295.23
1899,295.5
1900,295.8
1901,296.13
1902,296.48
1903,296.83
1904,297.2
1905,297.63
1906,298.08
1907,298.5
1908,298.9
1909,299.3
1910,299.7
1911,300.08
1912,300.43
1913,300.78
1914,301.1
1915,301.4
1916,301.73
1917,302.08
1918,302.4
1919,302.7
1920,303.03
1921,303.4
1922,303.78
1923,304.13
1924,304.53
1925,304.98
1926,305.4
1927,305.83
1928,306.3
1929,306.78
1930,307.23
1931,307.7
1932,308.18
1933,308.6
1934,309
1935,309.4
1936,309.75
1937,310
1938,310.18
1939,310.3
1940,310.38
1941,310.38
1942,310.3
1943,310.2
1944,310.13
1945,310.1
1946,310.13
1947,310.2
1948,310.33
1949,310.5
1950,310.75
1951,311.1
1952,311.5
1953,311.93
1954,312.43
1955,313
1956,313.6
1957,314.23
1958,314.85
1959,315.5
1960,316.27
1961,317.08
1962,317.8
1963,318.4
1964,318.93
1965,319.65
1966,320.65
1967,321.61
1968,322.64
1969,323.9
1970,324.99
1971,325.86
1972,327.14
1973,328.68
1974,329.74
1975,330.59
1976,331.75
1977,333.27
1978,334.85
1979,336.53
1980,338.36
1981,339.73
1982,340.79
1983,342.2
1984,343.78
1985,345.28
1986,346.8
1987,348.65
1988,350.74
1989,352.49
1990,353.86
1991,355.02
1992,355.89
1993,356.78
1994,358.13
1995,359.84
1996,361.46
1997,363.16
1998,365.32
1999,367.35
2000,368.87
2001,370.47
2002,372.52
2003,374.76
2004,376.81
2005,378.81
2006,381.15
2007,382.9
2008,385.02
2009,386.5
2010,388.76
2011,390.63
2012,392.65
2013,395.4
2014,397.34
2015,399.65
2016,403.06
2017,405.22
2018,407.62
2019,410.07
2020,412.44
2021,414.73
2022,416.41
2023,418.53
2024,421.08
2025,421.08
2026,421.08
2027,421.08
2028,421.08
2029,421.08
2030,421.08
2031,421.08
2032,421.08
2033,421.08
2034,421.08
2035,421.08
2036,421.08
2037,421.08
2038,421.08
2039,421.08
2040,421.08
2041,421.08
2042,421.08
2043,421.08
2044,421.08
2045,421.08
2046,421.08
2047,421.08
2048,421.08
2049,421.08
2050,421.08
2051,421.08
2052,421.08
2053,421.08
2054,421.08
2055,421.08
2056,421.08
2057,421.08
2058,421.08
2059,421.08
2060,421.08
2061,421.08
2062,421.08
2063,421.08
2064,421.08
2065,421.08
2066,421.08
2067,421.08
2068,421.08
2069,421.08
2070,421.08
2071,421.08
2072,421.08
2073,421.08
2074,421.08
2075,421.08
2076,421.08
2077,421.08
2078,421.08
2079,421.08
2080,421.08
2081,421.08
2082,421.08
2083,421.08
2084,421.08
2085,421.08
2086,421.08
2087,421.08
2088,421.08
2089,421.08
2090,421.08
2091,421.08
2092,421.08
2093,421.08
2094,421.08
2095,421.08
2096,421.08
2097,421.08
2098,421.08
2099,421.08
2100,421.08
2101,421.08
2102,421.08
2103,421.08
2104,421.08
2105,421.08
2106,421.08
2107,421.08
2108,421.08
2109,421.08
2110,421.08
2111,421.08
2112,421.08
2113,421.08
2114,421.08
2115,421.08
2116,421.08
2117,421.08
2118,421.08
2119,421.08
2120,421.08
2121,421.08
2122,421.08
2123,421.08
