year,atm_co2
2015,399.95
2016,403.12
2017,405.81
2018,408.83
2019,411.95
2020,415.15
2021,418.46
2022,421.84
2023,425.28
2024,428.78
2025,432.35
2026,435.97
2027,439.67
2028,443.43
2029,447.26
2030,451.16
2031,455.14
2032,459.17
2033,463.24
2034,467.36
2035,471.54
2036,475.76
2037,480.04
2038,484.38
2039,488.77
2040,493.22
2041,497.73
2042,502.29
2043,506.9
2044,511.56
2045,516.26
2046,521.02
2047,525.83
2048,530.69
2049,535.61
2050,540.58
2051,545.61
2052,550.69
2053,555.82
2054,561.0
2055,566.24
2056,571.53
2057,576.87
2058,582.27
2059,587.72
2060,593.23
2061,598.8
2062,604.42
2063,610.11
2064,615.85
2065,621.65
2066,627.5
2067,633.42
2068,639.4
2069,645.44
2070,651.54
2071,657.71
2072,663.93
2073,670.22
2074,676.57
2075,682.98
2076,689.46
2077,696.0
2078,702.61
2079,709.27
2080,716.01
2081,722.81
2082,729.68
2083,736.63
2084,743.66
2085,750.76
2086,757.95
2087,765.22
2088,772.56
2089,779.98
2090,787.49
2091,795.07
2092,802.74
2093,810.49
2094,818.33
2095,826.25
2096,834.27
2097,842.37
2098,850.55
2099,858.83
2100,867.19
2101,867.19
