lon,lat,name
-62.25,8.25,Station_163_235
-61.75,8.25,Station_163_236
-61.25,8.25,Station_163_237
-60.75,8.25,Station_163_238
-64.25,7.75,Station_164_231
-61.25,7.75,Station_164_237
-60.75,7.75,Station_164_238
-60.25,7.75,Station_164_239
-59.75,7.75,Station_164_240
-65.25,7.25,Station_165_229
-64.25,7.25,Station_165_231
-63.75,7.25,Station_165_232
-62.25,7.25,Station_165_235
-61.75,7.25,Station_165_236
-61.25,7.25,Station_165_237
-60.75,7.25,Station_165_238
-60.25,7.25,Station_165_239
-59.75,7.25,Station_165_240
-59.25,7.25,Station_165_241
-58.75,7.25,Station_165_242
-66.25,6.75,Station_166_227
-65.75,6.75,Station_166_228
-65.25,6.75,Station_166_229
-64.75,6.75,Station_166_230
-64.25,6.75,Station_166_231
-63.75,6.75,Station_166_232
-63.25,6.75,Station_166_233
-62.75,6.75,Station_166_234
-62.25,6.75,Station_166_235
-61.75,6.75,Station_166_236
-61.25,6.75,Station_166_237
-60.75,6.75,Station_166_238
-60.25,6.75,Station_166_239
-59.75,6.75,Station_166_240
-59.25,6.75,Station_166_241
-58.75,6.75,Station_166_242
-58.25,6.75,Station_166_243
-66.75,6.25,Station_167_226
-66.25,6.25,Station_167_227
-65.75,6.25,Station_167_228
-65.25,6.25,Station_167_229
-64.75,6.25,Station_167_230
-64.25,6.25,Station_167_231
-63.75,6.25,Station_167_232
-63.25,6.25,Station_167_233
-62.75,6.25,Station_167_234
-62.25,6.25,Station_167_235
-61.75,6.25,Station_167_236
-61.25,6.25,Station_167_237
-60.75,6.25,Station_167_238
-60.25,6.25,Station_167_239
-59.75,6.25,Station_167_240
-59.25,6.25,Station_167_241
-58.75,6.25,Station_167_242
-58.25,6.25,Station_167_243
-57.75,6.25,Station_167_244
-66.75,5.75,Station_168_226
-66.25,5.75,Station_168_227
-65.75,5.75,Station_168_228
-65.25,5.75,Station_168_229
-64.75,5.75,Station_168_230
-64.25,5.75,Station_168_231
-63.75,5.75,Station_168_232
-63.25,5.75,Station_168_233
-62.75,5.75,Station_168_234
-62.25,5.75,Station_168_235
-61.75,5.75,Station_168_236
-61.25,5.75,Station_168_237
-60.75,5.75,Station_168_238
-60.25,5.75,Station_168_239
-59.75,5.75,Station_168_240
-59.25,5.75,Station_168_241
-58.75,5.75,Station_168_242
-58.25,5.75,Station_168_243
-57.75,5.75,Station_168_244
-54.75,5.75,Station_168_250
-67.25,5.25,Station_169_225
-66.75,5.25,Station_169_226
-66.25,5.25,Station_169_227
-65.75,5.25,Station_169_228
-65.25,5.25,Station_169_229
-64.75,5.25,Station_169_230
-64.25,5.25,Station_169_231
-63.75,5.25,Station_169_232
-63.25,5.25,Station_169_233
-62.75,5.25,Station_169_234
-62.25,5.25,Station_169_235
-61.75,5.25,Station_169_236
-60.75,5.25,Station_169_238
-60.25,5.25,Station_169_239
-59.75,5.25,Station_169_240
-59.25,5.25,Station_169_241
-58.75,5.25,Station_169_242
-58.25,5.25,Station_169_243
-57.75,5.25,Station_169_244
-57.25,5.25,Station_169_245
-56.75,5.25,Station_169_246
-56.25,5.25,Station_169_247
-55.75,5.25,Station_169_248
-55.25,5.25,Station_169_249
-54.75,5.25,Station_169_250
-54.25,5.25,Station_169_251
-53.75,5.25,Station_169_252
-53.25,5.25,Station_169_253
-67.25,4.75,Station_170_225
-66.75,4.75,Station_170_226
-66.25,4.75,Station_170_227
-65.75,4.75,Station_170_228
-65.25,4.75,Station_170_229
-64.75,4.75,Station_170_230
-64.25,4.75,Station_170_231
-63.75,4.75,Station_170_232
-63.25,4.75,Station_170_233
-62.75,4.75,Station_170_234
-62.25,4.75,Station_170_235
-61.75,4.75,Station_170_236
-59.25,4.75,Station_170_241
-58.75,4.75,Station_170_242
-58.25,4.75,Station_170_243
-57.75,4.75,Station_170_244
-57.25,4.75,Station_170_245
-56.75,4.75,Station_170_246
-56.25,4.75,Station_170_247
-55.75,4.75,Station_170_248
-55.25,4.75,Station_170_249
-54.75,4.75,Station_170_250
-54.25,4.75,Station_170_251
-53.75,4.75,Station_170_252
-53.25,4.75,Station_170_253
-52.75,4.75,Station_170_254
-52.25,4.75,Station_170_255
-69.75,4.25,Station_171_220
-69.25,4.25,Station_171_221
-68.75,4.25,Station_171_222
-68.25,4.25,Station_171_223
-67.75,4.25,Station_171_224
-67.25,4.25,Station_171_225
-66.75,4.25,Station_171_226
-66.25,4.25,Station_171_227
-65.75,4.25,Station_171_228
-65.25,4.25,Station_171_229
-64.75,4.25,Station_171_230
-64.25,4.25,Station_171_231
-63.75,4.25,Station_171_232
-63.25,4.25,Station_171_233
-62.75,4.25,Station_171_234
-62.25,4.25,Station_171_235
-61.75,4.25,Station_171_236
-61.25,4.25,Station_171_237
-59.25,4.25,Station_171_241
-58.75,4.25,Station_171_242
-58.25,4.25,Station_171_243
-57.75,4.25,Station_171_244
-57.25,4.25,Station_171_245
-56.75,4.25,Station_171_246
-56.25,4.25,Station_171_247
-55.75,4.25,Station_171_248
-55.25,4.25,Station_171_249
-54.75,4.25,Station_171_250
-54.25,4.25,Station_171_251
-53.75,4.25,Station_171_252
-53.25,4.25,Station_171_253
-52.75,4.25,Station_171_254
-52.25,4.25,Station_171_255
-70.75,3.75,Station_172_218
-70.25,3.75,Station_172_219
-69.75,3.75,Station_172_220
-69.25,3.75,Station_172_221
-68.75,3.75,Station_172_222
-68.25,3.75,Station_172_223
