lon,lat,name,y,x
-58.78,-3.17,Station_1,186,242
-59.78,-4.17,Station_2,188,240
-60.78,-5.17,Station_3,190,238
-61.78,-6.17,Station_4,192,236
-62.78,1.17,Station_5,177,234
-63.78,2.17,Station_6,175,232
-64.78,3.17,Station_7,173,230
-65.78,4.17,Station_8,171,228
-66.78,-7.17,Station_9,194,226
-67.78,-8.17,Station_10,196,224
-68.78,-9.17,Station_11,198,222
-69.78,-10.17,Station_12,200,220
-67.78,3.17,Station_13,173,224
-55.78,-5.17,Station_14,190,248
-59.78,-6.17,Station_15,192,240
-63.78,-2.17,Station_16,184,232
