day,cue,rnpp,csoil_sum,csoil_1,csoil_2,csoil_3,csoil_4,aresp,photo
1901-01-01,0.4667734,2.940044,11531.369,42.26822,473.71844,1127.2704,9888.112,1.5762535,2.817118
1901-01-02,0.4620835,3.4874737,11531.176,42.15862,473.62396,1127.2758,9888.117,1.5455691,2.7997642
1901-01-03,0.4680432,3.4762073,11530.967,42.04397,473.52026,1127.281,9888.122,1.5024803,2.831333
1901-01-04,0.45960262,3.3980145,11530.738,41.92036,473.40387,1127.2861,9888.128,26.969692,2.7870057
1901-01-05,0.49405834,3.7711024,11530.505,41.798042,473.28275,1127.2911,9888.133,1.5011284,2.976347
1901-01-06,0.4651929,2.8909526,11530.247,41.665634,473.14758,1127.296,9888.138,2.0148647,2.8171303
1901-01-07,0.4921197,4.0088367,11530.036,41.561756,473.02994,1127.3007,9888.144,1.5422758,2.9596765
1901-01-08,0.48078954,3.663726,11529.811,41.45355,472.90396,1127.3052,9888.148,1.5045125,2.907262
1901-01-09,0.49116284,3.785113,11529.578,41.343575,472.77136,1127.3096,9888.153,1.5047116,2.9703805
1901-01-10,0.4761222,3.5783315,11529.365,41.247665,472.64557,1127.3136,9888.158,39.22866,2.8742425
1901-01-11,0.47627598,3.59026,11529.147,41.151054,472.51483,1127.3176,9888.164,1.5367746,2.8801868
1901-01-12,0.4764721,3.6096613,11528.948,41.067356,472.39056,1127.3214,9888.169,1.5361894,2.8870175
1901-01-13,0.4696047,3.053478,11528.742,40.981884,472.26108,1127.3251,9888.174,1.5776079,2.8444126
1901-01-14,0.48356885,3.7011178,11528.541,40.901035,472.13156,1127.3285,9888.18,87.833694,2.9222317
1901-01-15,0.44669917,3.16598,11528.369,40.838753,472.0145,1127.3318,9888.185,1.5358318,2.7212691
1901-01-16,0.41071886,2.7318878,11528.207,40.782486,471.90005,1127.3348,9888.189,1.5357373,2.559358
1901-01-17,0.3237496,1.8704762,11528.038,40.724346,471.78198,1127.3376,9888.194,1.5334936,2.2345934
1901-01-18,0.4525871,3.2440188,11527.883,40.674385,471.66788,1127.3405,9888.2,1.5348741,2.74943
1901-01-19,0.46477282,3.4468617,11527.673,40.596966,471.52805,1127.3431,9888.205,1.5388836,2.8287535
1901-01-20,0.45556837,3.3114228,11527.506,40.544014,471.40585,1127.3456,9888.21,1.5353786,2.7752779
1901-01-21,0.44378036,3.0774589,11527.367,40.50827,471.2964,1127.3478,9888.215,1.5413141,2.7132142
1901-01-22,0.4382598,3.1458488,11527.17,40.4408,471.15817,1127.3499,9888.221,1.541531,2.7092812
1901-01-23,0.46296346,3.4345102,11527.019,40.400883,471.04068,1127.3518,9888.226,13.364801,2.8225536
1901-01-24,0.47410426,3.5782926,11526.916,40.38774,470.9448,1127.3535,9888.23,1.5360776,2.8753703
1901-01-25,0.46697798,3.4464855,11526.817,40.376495,470.85025,1127.3551,9888.235,1.5368282,2.8267527
1901-01-26,0.48945525,3.7959247,11526.677,40.34265,470.7359,1127.3567,9888.241,1.540973,2.9632714
1901-01-27,0.4504412,3.2231102,11526.552,40.318783,470.62918,1127.358,9888.246,2.755883,2.7445285
1901-01-28,0.44199803,3.1195638,11526.454,40.309425,470.53433,1127.3591,9888.251,1.5375044,2.7058346
1901-01-29,0.4547412,3.3242967,11526.386,40.316315,470.45337,1127.3602,9888.256,1.537455,2.7821722
1901-01-30,0.45901245,3.353153,11526.357,40.344284,470.39142,1127.3612,9888.261,1.536542,2.7920213
1901-01-31,0.48118916,3.669723,11526.351,40.3829,470.34012,1127.362,9888.266,1.5368832,2.9102023
1901-02-01,0.46742338,3.4799783,11526.365,40.431664,470.29987,1127.3628,9888.2705,1.5371997,2.8399434
1901-02-02,0.4636583,3.446156,11526.338,40.457027,470.2421,1127.3635,9888.275,1.541615,2.8313162
1901-02-03,0.47016105,3.503271,11526.359,40.507797,470.20758,1127.3641,9888.28,1.5382166,2.8494785
1901-02-04,0.46001557,3.3847785,11526.368,40.54997,470.1685,1127.3647,9888.285,1.5415976,2.808488
1901-02-05,0.46285245,3.3822768,11526.441,40.62536,470.16013,1127.3654,9888.29,1.5368139,2.8031392
1901-02-06,0.47197118,3.5336552,11526.529,40.70718,470.16092,1127.3658,9888.295,1.5385581,2.861165
1901-02-07,0.45513365,3.2951992,11526.621,40.789204,470.1659,1127.3663,9888.3,1.5391084,2.7728825
1901-02-08,0.45951426,3.37468,11526.73,40.87799,470.18054,1127.367,9888.305,1.5398521,2.803261
1901-02-09,0.4431917,3.1781929,11526.861,40.976677,470.20773,1127.3674,9888.31,1.5399557,2.7303119
1901-02-10,0.47349453,3.5616417,11527.006,41.080696,470.24393,1127.368,9888.313,1.5397291,2.8727388
1901-02-11,0.466909,3.4686923,11527.196,41.20622,470.30295,1127.3687,9888.318,1.5389122,2.8375034
1901-02-12,0.47237608,3.5467973,11527.371,41.32075,470.35822,1127.3693,9888.323,1.5418097,2.8690984
1901-02-13,0.47848892,3.619869,11527.539,41.428513,470.41284,1127.3701,9888.328,1.5406303,2.894966
1901-02-14,0.42281267,2.8916762,11527.593,41.47164,470.41837,1127.371,9888.332,1.5435904,2.626526
1901-02-15,0.4545769,3.3545012,11527.59,41.48241,470.39874,1127.3718,9888.337,1.5487219,2.803937
1901-02-16,0.42501137,2.9821267,11527.611,41.506508,470.39093,1127.3726,9888.342,1.5465988,2.6636012
1901-02-17,0.426424,3.0054924,11527.65,41.53912,470.39142,1127.3734,9888.347,1.5479015,2.6734824
1901-02-18,0.4568581,3.369818,11527.736,41.596596,470.41406,1127.3743,9888.352,1.5466487,2.807829
1901-02-19,0.44737786,3.246614,11527.858,41.672466,470.4546,1127.3751,9888.356,1.547299,2.7625988
1901-02-20,0.40302402,2.68044,11528.043,41.780308,470.525,1127.376,9888.361,1.5452704,2.5500784
1901-02-21,0.4398919,3.1288316,11528.3,41.926247,470.63138,1127.3768,9888.365,1.5440329,2.7157638
1901-02-22,0.4833639,3.726559,11528.583,42.08279,470.75244,1127.3778,9888.37,1.5448226,2.9389167
1901-02-23,0.4774608,3.6614258,11528.868,42.237263,470.8781,1127.379,9888.374,1.5459019,2.9157808
1901-02-24,0.46505022,3.4206865,11529.202,42.414433,471.02835,1127.3804,9888.379,1.5413606,2.8218884
1901-02-25,0.42933145,2.9449677,11529.43,42.529736,471.13538,1127.3818,9888.383,1.5408995,2.6442125
1901-02-26,0.46745062,3.4917514,11529.709,42.670383,471.26743,1127.3834,9888.388,1.5413749,2.8485782
1901-02-27,0.44485238,3.2096105,11530.019,42.82552,471.4166,1127.3851,9888.392,1.5420197,2.744216
1901-02-28,0.40587324,2.7467628,11530.305,42.96311,471.55746,1127.3871,9888.396,1.5464389,2.576054
1901-03-01,0.47045776,3.5010695,11530.615,43.11219,471.71292,1127.3892,9888.4,1.5420353,2.8521934
1901-03-02,0.4690198,3.514387,11530.9,43.243736,471.86005,1127.3914,9888.405,1.5474406,2.8623948
1901-03-03,0.4809045,3.6747239,11531.168,43.3631,472.00244,1127.3938,9888.409,1.5455925,2.9204457
1901-03-04,0.4666757,3.5170567,11531.389,43.452347,472.1255,1127.3965,9888.414,1.5504526,2.8662822
1901-03-05,0.4155447,2.8458924,11531.68,43.580616,472.2823,1127.3992,9888.418,1.5461221,2.6127214
1901-03-06,0.42638424,2.9703915,11532.04,43.744408,472.47168,1127.402,9888.422,1.5455903,2.6584706
