g1          ,resopfrac  ,tleaf      ,twood       ,troot      ,aleaf   ,awood   ,aroot   ,c4  ,leaf_n2c     ,awood_n2c    ,froot_n2c    ,leaf_p2c      ,awood_p2c      ,froot_p2c     ,amp          ,pdia
17.477884   ,0.46283454 , 1.523492  ,  0.0       , 7.2919016 ,0.76125 ,0.0     ,0.23875 ,0.0 ,0.008528566  ,0.0          ,0.0056763347 ,0.004375059   ,0.0            ,0.0028036505  ,0.91396934   ,0.0
17.011385   ,0.656086   , 3.1477299 ,  0.0       , 3.4473884 ,0.75375 ,0.0     ,0.24625 ,0.0 ,0.0043691713 ,0.0          ,0.021814851  ,0.0013649706  ,0.0            ,0.0023723715  ,0.8588795    ,0.0
 7.2439384  ,0.38211372 , 3.312087  ,  0.0       , 6.6200414 ,0.835   ,0.0     ,0.165   ,0.0 ,0.010868609  ,0.0          ,0.010455932  ,0.00039881235 ,0.0            ,0.0011032129  ,0.33813146   ,0.0
14.203016   ,0.44595376 , 1.4157345 ,  0.0       , 3.8945868 ,0.85375 ,0.0     ,0.14625 ,0.0 ,0.028817102  ,0.0          ,0.0056099514 ,0.008307126   ,0.0            ,0.002174947   ,0.5533926    ,0.0
 2.5871258  ,0.58307415 , 1.2729776 ,  0.0       , 4.8151975 ,0.79    ,0.0     ,0.21    ,0.0 ,0.022685211  ,0.0          ,0.0068712337 ,0.0027450307  ,0.0            ,0.0023130267  ,0.37472558   ,0.0
 2.9481559  ,0.32079005 , 1.768842  ,  0.0       , 4.718695  ,0.8075  ,0.0     ,0.1925  ,0.0 ,0.016002     ,0.0          ,0.0014794349 ,0.002688061   ,0.0            ,0.00041281412 ,0.33051988   ,0.0
11.504198   ,0.40328547 , 2.2593822 ,  0.0       , 1.9165034 ,0.6425  ,0.0     ,0.3575  ,0.0 ,0.011511814  ,0.0          ,0.018193275  ,0.0011347668  ,0.0            ,0.00307981    ,0.260592     ,0.0
10.441264   ,0.5606859  , 8.575967  ,  9.494502  , 1.289019  ,0.25125 ,0.43625 ,0.3125  ,0.0 ,0.0071318913 ,0.0069654956 ,0.016998375  ,0.004136717   ,0.0010004172   ,0.0018658832  ,0.3391298    ,0.0
16.741539   ,0.52945995 , 3.3657928 , 57.199715  , 3.6916003 ,0.50125 ,0.3825  ,0.11625 ,0.0 ,0.008246781  ,0.0015580697 ,0.006826978  ,0.0022299788  ,0.00024499153  ,0.0014410677  ,0.02025758   ,0.06719794
 5.633468   ,0.43011144 , 2.134393  ,  0.0       , 1.5383788 ,0.53375 ,0.0     ,0.46625 ,0.0 ,0.014458307  ,0.0          ,0.012344168  ,0.0016649332  ,0.0            ,0.0026831978  ,0.6297846    ,0.0
13.584652   ,0.4263975  , 2.9724283 ,  0.0       , 3.1808093 ,0.815   ,0.0     ,0.185   ,0.0 ,0.012914615  ,0.0          ,0.005071509  ,0.0026961996  ,0.0            ,0.0017066508  ,0.5039066    ,0.0
 4.5958257  ,0.5961768  , 3.0997274 ,  0.0       , 3.0529537 ,0.6875  ,0.0     ,0.3125  ,0.0 ,0.015371046  ,0.0          ,0.01007976   ,0.0038832603  ,0.0            ,0.0020821101  ,0.9151935    ,0.0
